Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
259,Fable III,X360,Microsoft Game Studios,Lionhead Studios,7.8,,5.1,2010
260,Mario & Sonic at the Olympic Games,DS,Sega,Sega,7,,5.1,2008
261,Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Rockstar Leeds,8.4,,5.08,2006
262,FIFA Soccer 11,PS3,EA Sports,EA Canada,8.7,,5.08,2010
263,Super Mario Bros. Deluxe,GB,Nintendo,Nintendo EAD,9.7,,5.07,1999
264,Final Fantasy XV,PS4,Square Enix,Square Enix,8.1,9.5,5.07,2016
265,Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,6.4,5.03,2015
266,Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,9.6,,5.02,1999
267,Warzone 2100,PS,Eidos Interactive,Pumpkin Studios,7.5,,5.01,1999
268,Spyro the Dragon,PS,Sony Computer Entertainment,Insomniac Games,8.7,,5,1998
269,Gears of War,X360,Microsoft Game Studios,Epic Games,9.4,9.4,5,2006
270,Gears of War 2,X360,Microsoft Game Studios,Epic Games,9.4,9.5,5,2008
271,Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,8.6,6.4,5,2015
272,Halo: Combat Evolved,XB,Microsoft,Bungie Studios,9.5,,5,2001
273,Guitar Hero III: Legends of Rock,PS2,RedOctane,BudCat Creations,8.2,,4.98,2007
274,Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Naughty Dog,8.7,8.6,4.97,2007
275,Resident Evil 2,PS,Capcom,Capcom,9.3,,4.96,1998
276,Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,9,8.6,4.96,2008
277,Splatoon,WiiU,Nintendo,Nintendo EAD,8.4,8.7,4.95,2015
278,Madden NFL 06,PS2,EA Sports,EA Tiburon,9.1,,4.91,2005
279,Stardew Valley,PC,Chucklefish,ConcernedApe,9.2,8.7,4.91,2016
280,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5 / Armor Project,8.6,,4.9,2005
281,Monster Hunter Freedom 3,PSP,Capcom,Capcom,,,4.9,2010
282,Diddy Kong Racing,N64,Nintendo,Rare Ltd.,8.3,,4.88,1997
283,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,ChunSoft,6.4,,4.88,2008
284,Call of Duty: Black Ops IIII,XOne,Activision,Treyarch,,,4.85,2018
285,Dr. Mario,NES,Nintendo,Nintendo R&D1,,,4.85,1990
286,Crash Bandicoot N. Sane Trilogy,PS4,Activision,Vicarious Visions,8,8.5,4.83,2017
287,Assassin's Creed,PS3,Ubisoft,Ubisoft Montreal,8.2,8.5,4.83,2007
288,Call of Duty: Infinite Warfare,XOne,Activision,Infinity Ward,7.8,3.6,4.79,2016
289,Crash Team Racing,PS,Sony Computer Entertainment,Naughty Dog,9.2,,4.79,1999
290,LEGO Star Wars: The Complete Saga,DS,LucasArts,Traveller's Tales,7.8,,4.77,2007
291,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo EAD,9.1,,4.76,2007
292,Batman: Arkham City,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,,4.75,2011
293,Driver 2,PS,Atari,Reflections Interactive,7,,4.73,2000
294,The Simpsons: Hit & Run,PS2,VU Games,Radical Entertainment,7.7,,4.7,2003
295,World of Warcraft: Cataclysm,PC,Blizzard Entertainment,Blizzard Entertainment,9,,4.7,2010
296,Tony Hawk's Pro Skater 2,PS,Activision,Neversoft Entertainment,9.3,,4.68,2000
297,Gran Turismo,PSP,Sony Computer Entertainment,Polyphony Digital,7.7,9.5,4.67,2009
298,The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Stormfront Studios,8.3,,4.67,2002
299,Tomb Raider,PS,Eidos Interactive,Core Design Ltd.,8.9,,4.63,1996
300,God of War,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,,4.62,2005
301,The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,10,,4.61,1992
302,Left 4 Dead,PC,Valve Corporation,Valve Software,8.6,8.5,4.6,2008
303,Forza Motorsport 4,X360,Microsoft Studios,Turn 10 Studio,9.1,,4.6,2011
304,Guitar Hero III: Legends of Rock,Wii,RedOctane,Vicarious Visions,8.6,,4.6,2007
305,Nintendogs + cats,3DS,Nintendo,Nintendo EAD,7.2,,4.59,2011
306,"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Game Freak,8.3,6.1,4.57,2018
307,BioShock Infinite,PC,2K Games,Irrational Games,9.5,8.6,4.56,2013
308,Mario & Luigi: Bowser's Inside Story,DS,Nintendo,AlphaDream Corporation,9.1,,4.56,2009
309,FIFA 15,PS3,EA Sports,EA Canada,6.9,,4.56,2014
310,Mario & Sonic at the Olympic Winter Games,Wii,Sega,Sega,6.8,,4.54,2009
311,Overwatch,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,6.4,4.54,2016
312,Madden NFL 2005,PS2,EA Sports,EA Tiburon,9.5,,4.53,2004
313,Guitar Hero III: Legends of Rock,X360,RedOctane,Neversoft,8.7,,4.53,2007
314,Star Wars Battlefront II (2017),PS4,Electronic Arts,EA DICE,,,4.53,2017
315,Dead Island,PC,Deep Silver,Techland,7.1,6.9,4.52,2011
316,Arma 2: Operation Arrowhead,PC,Meridian4,Bohemia Interactive,,,4.51,2010
317,ARK: Survival Evolved,PC,Studio Wildcard,Studio Wildcard,7,5.2,4.5,2015
318,LittleBigPlanet,PS3,Sony Computer Entertainment,Media Molecule,9.4,9.2,4.5,2008
319,Riven: The Sequel to Myst,PC,Red Orb,Cyan Worlds,,,4.5,1997
320,StarCraft II: Wings of Liberty,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,4.5,2010
321,Warcraft III: Reign of Chaos,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,4.5,2002
322,Pitfall!,2600,Activision,Activision,,,4.5,1982
323,Professor Layton and the Curious Village,DS,Nintendo,Level 5,8.7,,4.49,2008
324,Madden NFL 07,PS2,EA Sports,EA Tiburon,8.5,,4.49,2006
325,Spider-Man: The Movie,PS2,Activision,Treyarch,8.2,,4.48,2002
326,The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Bethesda Softworks,9.2,,4.47,2009
327,The Legend of Zelda: The Wind Waker,GC,Nintendo,Nintendo EAD,9.6,,4.43,2003
328,Tony Hawk's Pro Skater 3,PS2,Activision,Neversoft Entertainment,9.1,,4.41,2001
329,Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami,Konami Computer Entertainment Tokyo,8.8,,4.39,2007
330,The Legend of Zelda: Link's Awakening,NS,Nintendo,Nintendo,8.7,8.4,4.38,2019
331,Zelda II: The Adventure of Link,NES,Nintendo,Nintendo EAD,,,4.38,1988
332,Michael Jackson: The Experience,Wii,Ubisoft,Ubisoft Montpellier,5.6,,4.37,2010
333,Tom Clancy's The Division,PS4,Ubisoft,Massive Entertainment,8,7,4.37,2016
334,Need for Speed: Most Wanted,PS2,Electronic Arts,EA Canada,8.6,,4.37,2005
335,Resistance: Fall of Man,PS3,Sony Computer Entertainment,Insomniac Games,8.5,9.1,4.37,2006
336,Tom Clancy's Rainbow Six: Siege,PS4,Ubisoft,Ubisoft Montreal,,,4.36,2015
337,Call of Duty: Advanced Warfare,X360,Activision,High Moon Studios,9.1,,4.34,2014
338,Watch Dogs,PS4,Ubisoft,Ubisoft Montreal,8,6.4,4.32,2014
339,Animal Crossing: City Folk,Wii,Nintendo,Nintendo EAD,7.1,8.8,4.32,2008
340,Starbound,PC,"Infocom, Inc.",Unknown,8.1,7.1,4.31,2014
341,Asteroids,2600,Atari,Atari,7.6,7.8,4.31,1981
342,Dragon Quest VII,PS,Enix,Heart Beat,8,3,4.3,2001
343,Monster Hunter Generations,3DS,Capcom,Capcom,8.8,8,4.3,2016
344,The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,9.1,9.2,4.3,2015
345,Batman: Arkham Asylum,PS3,Eidos Interactive,Rocksteady Studios,9,,4.28,2009
346,Call of Duty: Advanced Warfare,PS3,Activision,High Moon Studios,9.1,,4.27,2014
347,God of War II,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,9.8,4.24,2007
348,Namco Museum,GBA,Namco,Mass Media,8.5,,4.24,2001
349,Daxter,PSP,Sony Computer Entertainment,Ready at Dawn,8.6,,4.23,2006
350,Super Paper Mario,Wii,Nintendo,Intelligent Systems,8.5,,4.23,2007
351,Assassin's Creed: Revelations,PS3,Ubisoft,Ubisoft Montreal,8.8,,4.23,2011
352,Metal Gear Solid 3: Snake Eater,PS2,Konami,KCEJ / Kojima Productions,9,,4.23,2004
353,Assassin's Creed: Revelations,X360,Ubisoft,Ubisoft Montreal,7.9,,4.22,2011
354,FIFA Soccer 06,PS2,EA Sports,EA Canada,8.4,,4.21,2005
355,Counter-Strike,PC,Sierra Studios,Unknown,8.9,,4.2,2000
356,Monster Hunter 4 Ultimate,3DS,Capcom,Capcom,8.8,8.6,4.2,2015
343,Mortal Kombat 11,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,8.2,3.6,4.2,2019
357,Street Fighter IV,PS3,Capcom,Capcom / Dimps Corporation,9.3,9,4.19,2009
358,7 Days to Die,PC,The Fun Pimps,The Fun Pimps,,,4.18,2013
359,FIFA Soccer 12,X360,EA Sports,EA Canada,9.2,,4.18,2011
360,Call of Duty: Ghosts,PS4,Activision,Infinity Ward,7.5,3.8,4.17,2013
361,Teenage Mutant Ninja Turtles,NES,Ultra Games,Konami,5.9,,4.17,1989
362,Just Cause 2,PC,Eidos Interactive,Avalanche Studios,8.2,,4.16,2010
363,Excitebike,NES,Nintendo,Nintendo R&D1,8.4,,4.16,1985
364,Frogger,PS,Hasbro Interactive,Millenium Interactive,2,,4.16,1997
365,Star Wars Battlefront (2015),XOne,Electronic Arts,EA DICE,6.9,,4.15,2015
366,FIFA 14,X360,EA Sports,EA Canada,9.1,,4.15,2013
367,Madden NFL 2003,PS2,EA Sports,EA Tiburon,9.4,,4.14,2002
368,Assassin's Creed: Unity,PS4,Ubisoft,Ubisoft Montreal,,,4.14,2014
369,Destiny 2,PS4,Activision,Bungie,8.5,4.9,4.14,2017
370,Super Mario World 2: Yoshi's Island,SNES,Nintendo,Nintendo EAD,9,,4.12,1995
371,Batman: Arkham Knight,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,7.8,4.11,2015
372,FIFA 07 Soccer,PS2,EA Sports,Team Fusion,8.4,,4.11,2006
373,The Sims 4,PC,Electronic Arts,Maxis,7,4,4.1,2014
374,Monster Hunter 4,3DS,Capcom,Capcom,,,4.1,2013
375,Street Fighter II Turbo,SNES,Capcom,Capcom,9,,4.1,1993
376,Fallout: New Vegas,X360,Bethesda Softworks,Obsidian Entertainment,8.2,,4.08,2010
377,The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,Nintendo EAD,9.3,9,4.07,2013
378,Assassin's Creed Origins,PS4,Ubisoft,Ubisoft Montreal,8.1,7.2,4.06,2017
379,Far Cry 4,PS4,Ubisoft,Ubisoft Montreal,8.4,7.7,4.06,2014
380,Carnival Games,Wii,Global Star Software,Cat Daddy Games,4.2,,4.06,2007
381,World Soccer Winning Eleven 9,PS2,Konami,Konami Computer Entertainment Tokyo,8.9,,4.06,2006
382,Forza Motorsport 2,X360,Microsoft Game Studios,Turn 10 Studios,9.1,,4.05,2007
383,Namco Museum Vol.3,PS,Namco,Namco,,,4.05,1997
384,Tekken Tag Tournament,PS2,Namco,Namco,8.7,,4.05,2000
385,Golf,NES,Nintendo,Nintendo,,,4.01,1985
386,Super Mario Maker,WiiU,Nintendo,Nintendo EAD,8.8,8.7,4.01,2015
387,Arma III,PC,Bohemia Interactive,Bohemia Interactive,,,4,2013
388,Diablo II,PC,Blizzard Entertainment,Blizzard North,8.8,,4,2000
389,Disney's Aladdin,GEN,Sega,Virgin Interactive,,,4,1993
390,EyeToy Play,PS2,Sony Computer Entertainment,SCEE London Studio,7.5,,4,2003
391,Just Dance,Wii,Ubisoft,Ubisoft Paris,5.4,,4,2009
392,Monster Hunter: World,PS4,Capcom,Capcom,9.3,9,4,2018
393,Star Fox 64,N64,Nintendo,Nintendo EAD,9,,4,1997
394,The Last of Us: Part II,PS4,Sony Interactive Entertainment,Naughty Dog,9.4,5.6,4,2020
395,World of Warcraft: Wrath of the Lich King,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,9.3,4,2008
396,Fallout 3,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,,4,2008
397,The Legend of Zelda: Oracle of Ages / Seasons,GBC,Nintendo,Capcom,,,3.99,2001
398,The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,Bethesda Game Studios,9.2,8.2,3.99,2011
399,Namco Museum: 50th Anniversary,PS2,Namco,Digital Eclipse,5,,3.98,2005
400,NBA 2K16,PS4,2K Sports,Visual Concepts,8.7,6.7,3.98,2015
401,Left 4 Dead 2,X360,Electronic Arts,Certain Affinity / Valve Software,9,,3.97,2009
402,Far Cry 5,PS4,Ubisoft,Ubisoft,7.9,6.8,3.95,2018
403,Battlefield 4,PS4,Electronic Arts,EA DICE,8.3,7,3.94,2013
404,Assassin's Creed IV: Black Flag,PS3,Ubisoft,Ubisoft Montreal,8.7,,3.94,2013
405,EA Sports Active,Wii,EA Sports,EA Vancouver,8.3,,3.93,2009
406,Half-Life 2: Episode One,PC,Electronic Arts,Valve Software,8.7,,3.92,2006
407,Donkey Kong Land,GB,Nintendo,Rare Ltd.,,,3.91,1995
408,English Training: Have Fun Improving Your Skills!,DS,Nintendo,Plato,,,3.91,2006
409,Dragon Quest III,NES,Enix,ChunSoft,,8,3.9,1992
410,Tony Hawk's Underground,PS2,Activision,Neversoft Entertainment,8.7,,3.9,2003
411,Just Dance 2014,Wii,Ubisoft,Ubisoft Paris,7.4,,3.89,2013
412,Professor Layton and the Diabolical Box,DS,Nintendo,Level 5,8.5,,3.88,2009
413,Sports Champions,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.6,,3.88,2010
414,World Soccer Winning Eleven 8 International,PS2,Konami,Konami Computer Entertainment Tokyo,9.3,,3.85,2005
415,Namco Museum Vol.1,PS,Namco,Namco,,,3.84,1996
416,The Legend of Zelda: Link's Awakening,GB,Nintendo,Nintendo EAD,,,3.83,1993
417,Resident Evil VII: Biohazard,PS4,Capcom,Capcom,8.6,,3.83,2017
418,Monster Hunter Freedom Unite,PSP,Capcom,Capcom Production Studio 1,7.7,9.7,3.8,2009
423,Madden NFL 20,PS4,EA Sports,EA Tiburon,7.6,1.5,3.78,2019
419,Gran Turismo Sport,PS4,Sony Interactive Entertainment,Polyphony Digital,7.5,6,3.77,2017
420,LEGO Indiana Jones: The Original Adventures,X360,LucasArts,Traveller's Tales,7.5,,3.76,2008
421,The Sims: Unleashed,PC,Electronic Arts,Maxis,7.3,,3.76,2002
422,Tomodachi Collection,DS,Nintendo,Nintendo SPD Group No.1,,,3.76,2009
423,Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment,High Impact Games,8.5,,3.75,2007
424,Harry Potter and the Sorcerer's Stone,PS,Electronic Arts,Argonaut Games,8,,3.73,2001
425,Pokemon Trading Card Game,GB,Nintendo,Hudson Soft,8.3,,3.72,2000
426,FIFA 17,XOne,Electronic Arts,EA Canada,8.8,5.1,3.71,2016
427,Spyro: Year of the Dragon,PS,Sony Computer Entertainment,Insomniac Games,9.1,,3.71,2000
428,FIFA Soccer 2005,PS2,EA Sports,EA Canada,8.4,,3.7,2004
429,Diablo III: Reaper of Souls,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,6.6,3.7,2014
430,The Legend of Zelda: Skyward Sword,Wii,Nintendo,Nintendo EAD,9.4,,3.67,2011
431,Tony Hawk's Pro Skater 4,PS2,Activision,Neversoft Entertainment,9.6,,3.67,2002
432,Midnight Club 3: DUB Edition,PSP,Rockstar Games,Rockstar Leeds,7.2,,3.66,2005
433,MySims,DS,Electronic Arts,EA Redwood Shores,6.7,,3.66,2007
434,Banjo-Kazooie,N64,Nintendo,Rare Ltd.,9.3,9.4,3.65,1998
435,SOCOM: U.S. Navy SEALs,PS2,Sony Computer Entertainment,Zipper Interactive,8,,3.65,2002
436,Battlefield 4,PS3,Electronic Arts,EA DICE,8.7,,3.64,2013
437,Jak and Daxter: The Precursor Legacy,PS2,Sony Computer Entertainment,Naughty Dog,9,8.9,3.64,2001
438,Pokemon Snap,N64,Nintendo,HAL Laboratory,7.9,,3.63,1999
439,Pro Evolution Soccer 2008,PS2,Konami,Konami,8.2,,3.63,2008
440,FIFA Soccer 10,PS3,EA Sports,EA Canada,9,,3.63,2009
441,Guitar Hero: World Tour,Wii,Activision,Vicarious Visions,8.4,,3.62,2008
442,Gears of War: Ultimate Edition,XOne,Microsoft Studios,The Coalition,8.2,7.6,3.62,2015
443,Star Wars Battlefront,PS2,LucasArts,Pandemic Studios,8.1,,3.61,2004
444,Doom II,PC,GT Interactive,id Software,9.3,,3.61,1994
445,The Simpsons: Road Rage,PS2,Electronic Arts,Radical Entertainment,6.1,,3.61,2001
446,BattleBlock Theater,PC,The Behemoth,The Behemoth,8.5,7.9,3.61,2014
447,Assassin's Creed Syndicate,PS4,Ubisoft,Ubisoft Quebec,8.6,6.9,3.6,2015
448,Star Wars Battlefront II,PS2,LucasArts,Pandemic Studios,8.5,,3.59,2005
449,Assassin's Creed: Unity,XOne,Ubisoft,Ubisoft Montreal,,,3.58,2014
450,Cooking Mama 2: Dinner With Friends,DS,Majesco,Office Create,6.9,,3.58,2007
451,Undertale,PC,Toby Fox,Toby Fox,9.2,8.3,3.58,2015
452,WWF SmackDown!,PS,THQ,Yuke's,,,3.58,2000
453,Croc: Legend of the Gobbos,PS,Fox Interactive,Argonaut Games,7.6,,3.56,1997
454,Battlefield 4,X360,Electronic Arts,EA DICE,8.7,,3.54,2013
455,Grand Theft Auto: Liberty City Stories,PS2,Rockstar Games,Rockstar Leeds,8.3,,3.54,2006
456,The Getaway,PS2,Sony Computer Entertainment,Team Soho,7.7,,3.54,2003
457,Tomb Raider III: Adventures of Lara Croft,PS,Eidos Interactive,Core Design Ltd.,8.2,,3.54,1998
458,Batman: Arkham Asylum,X360,Eidos Interactive,Rocksteady Studios,9.1,,3.54,2009
459,Assassin's Creed: Brotherhood,X360,Ubisoft,Ubisoft Montreal,9.1,,3.53,2010
460,James Bond 007: Agent Under Fire,PS2,Electronic Arts,EA Redwood Shores,7.9,,3.53,2001
461,LEGO Star Wars: The Video Game,PS2,Eidos Interactive,Traveller's Tales,7.9,,3.53,2005
462,Resident Evil 5,X360,Capcom,Capcom,8.6,,3.53,2009
463,Rugrats in Paris: The Movie,PS,THQ,Avalanche Software,,,3.52,2000
464,NBA 2K17,PS4,2K Sports,Visual Concepts,9,6.4,3.52,2016
465,FIFA Soccer 11,X360,EA Sports,EA Canada,8.7,,3.52,2010
466,Spyro 2: Ripto's Rage!,PS,Sony Computer Entertainment,Insomniac Games,8.7,,3.52,1999
467,Left 4 Dead,X360,Valve Corporation,Certain Affinity / Valve Software,8.7,9,3.52,2008
468,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Nintendo,Rare Ltd.,8.8,,3.51,1996
469,Fable II,X360,Microsoft Game Studios,Lionhead Studios,9,9.3,3.5,2008
470,Final Fantasy VII Remake,PS4,Square Enix,Square Enix,8.7,8.1,3.5,2020
471,Kung Fu,NES,Nintendo,Irem Software Engineering,,,3.5,1985
472,Resident Evil 3: Nemesis,PS,Capcom,Capcom,9.4,,3.5,1999
473,World of Warcraft: The Burning Crusade,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,,3.5,2007
474,FIFA Soccer 2004,PS2,EA Sports,EA Canada,8,,3.49,2003
475,Pokemon Mystery Dungeon: Blue Rescue Team,DS,Nintendo,ChunSoft,6.3,,3.49,2006
476,Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.3,7.8,3.49,2015
477,Battlefield: Bad Company 2,X360,Electronic Arts,EA Digital Illusions CE,9,9.3,3.48,2010
478,Borderlands,X360,2K Games,Gearbox Software,8.3,,3.48,2009
479,Mario & Sonic at the Olympic Winter Games,DS,Sega,Sega,7.6,,3.47,2009
480,Dying Light,PC,Warner Bros. Interactive Entertainment,Techland,7.5,7.9,3.47,2016
481,Guitar Hero: On Tour,DS,Activision,Vicarious Visions,7.1,8.1,3.46,2008
482,Dragon Ball Z: Budokai,PS2,Atari,Dimps Corporation,,,3.46,2002
483,Halo: The Master Chief Collection,XOne,Microsoft Studios,343 Industries,8.5,7.4,3.44,2014
484,LEGO Batman: The Videogame,X360,Warner Bros. Interactive,Traveller's Tales,7.5,,3.44,2008
485,Tekken 4,PS2,Namco,Namco,7.9,,3.44,2002
486,FIFA 14,PS4,EA Sports,EA Canada,9.1,6.3,3.43,2013
487,Animal Crossing: Happy Home Designer,3DS,Nintendo,Nintendo EAD,6.6,6.9,3.43,2015
488,LittleBigPlanet 2,PS3,Sony Computer Entertainment,Media Molecule,9.1,,3.43,2011
489,Grand Theft Auto 2,PS,Rockstar Games,DMA Design,6.9,,3.42,1999
490,Destiny,XOne,Activision,Bungie,8.3,5.5,3.41,2014
491,Spider-Man 2,PS2,Activision,Treyarch,7.9,,3.41,2004
492,F-1 Race,GB,Nintendo,Nintendo,7,,3.41,1991
493,Super Mario Maker,3DS,Nintendo,Nintendo,7.3,,3.4,2016
494,World of Warcraft: Battle for Azeroth,PC,Blizzard Entertainment,Blizzard Entertainment,7.9,3.1,3.4,2018
495,FIFA Soccer 2003,PS2,EA Sports,EA Canada,8.3,,3.4,2002
496,Crash Bash,PS,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,,3.39,2000
497,Gears of War 4,XOne,Microsoft Studios,The Coalition,8.4,6.9,3.38,2016
498,Tekken: Dark Resurrection,PSP,Namco Bandai,8ing/Raizing,8.7,,3.37,2006
499,The Elder Scrolls V: Skyrim Special Edition,PS4,Bethesda Softworks,Bethesda Softworks,8.3,7.1,3.36,2016
500,Watch Dogs 2,PS4,Ubisoft,Ubisoft,8.2,7.7,3.36,2016
501,The Legend of Zelda: Majora's Mask,N64,Nintendo,Nintendo EAD,9.3,,3.36,2000
502,WWF War Zone,PS,Acclaim Entertainment,Iguana Entertainment,,,3.36,1998
503,Yoshi's Island DS,DS,Nintendo,Artoon,8.2,,3.36,2006
504,Assassin's Creed IV: Black Flag,X360,Ubisoft,Ubisoft Montreal,8.5,,3.34,2013
505,NBA 2K18,PS4,2K Sports,Visual Concepts,8.1,1.7,3.34,2017
506,Big Brain Academy: Wii Degree,Wii,Nintendo,Nintendo EAD,7.1,,3.34,2007
507,Rugrats: Search For Reptar,PS,THQ,n-Space,,,3.34,1998
